Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
NCW42,OUT045,4113.2847
NCX06,OUT049,3253.34
FDC37,OUT027,2721.1108
FDZ14,OUT018,1833.742
DRG49,OUT049,6141.258
NCG06,OUT045,3628.1555
DRC36,OUT045,2751.935
FDV21,OUT019,313.19012
FDB53,OUT046,2824.582
DRP47,OUT019,570.67834
FDA14,OUT013,2153.653
DRC24,OUT035,2306.0872
FDW21,OUT018,1735.3867
NCH29,OUT046,2053.2139
FDU58,OUT013,3545.645
FDY27,OUT017,2145.896
FDV56,OUT035,1550.0178
FDT59,OUT046,4495.2
FDB23,OUT046,3238.6228
FDR49,OUT045,807.33936
FDB03,OUT010,246.78972
FDN39,OUT045,2630.22
FDX02,OUT027,6211.5396
FDQ16,OUT027,2772.0603
FDU35,OUT018,1707.5852
NCT29,OUT013,1586.7013
FDZ27,OUT046,714.68207
FDN57,OUT017,1920.8055
FDA03,OUT018,1890.8881
FDZ36,OUT045,3482.1707
NCU05,OUT013,1119.6349
FDT39,OUT018,2220.2957
FDK60,OUT017,1575.8689
FDZ25,OUT017,3098.2366
FDG12,OUT046,2038.7649
DRB01,OUT019,220.06659
NCC43,OUT027,5851.126
FDX13,OUT019,998.8555
FDM22,OUT049,1012.6913
FDJ03,OUT027,1485.6628
FDU14,OUT018,4797.4556
FDB33,OUT010,552.1527
FDP27,OUT046,3684.4795
FDO38,OUT010,147.0011
FDE28,OUT027,6462.86
FDO27,OUT035,1598.926
DRL23,OUT027,1986.2052
FDS28,OUT046,785.78033
FDX24,OUT013,1313.6647
FDZ02,OUT035,1504.2317
FDL46,OUT045,1144.1053
FDS60,OUT027,3831.7334
NCO06,OUT017,483.6795
FDO16,OUT035,1986.9303
FDC60,OUT049,2113.9082
FDA48,OUT018,2908.0974
FDZ36,OUT027,4601.2646
FDK27,OUT045,1705.0254
FDW23,OUT018,555.05365
FDM14,OUT018,1525.0006
FDM14,OUT013,1540.6122
FDW60,OUT018,1954.7445
FDE21,OUT013,2007.2028
NCM42,OUT035,1903.5459
FDY59,OUT010,162.54684
DRI49,OUT049,1338.0895
FDT28,OUT019,437.03003
FDQ22,OUT018,540.0625
FDR60,OUT049,1315.5812
FDC50,OUT019,394.04605
FDV24,OUT013,2447.9033
DRF48,OUT010,444.03967
FDQ47,OUT046,621.56085
DRN36,OUT049,1644.4907
NCY06,OUT035,2234.5288
FDE52,OUT035,1430.758
NCB54,OUT045,1696.7803
NCF31,OUT035,2359.1204
FDJ08,OUT027,3405.2266
NCC07,OUT017,1650.6008
NCD19,OUT027,1658.0643
FDL46,OUT049,1820.426
FDM20,OUT045,4764.131
NCI06,OUT010,630.04553
DRM11,OUT035,4665.196
NCH07,OUT018,2580.8872
FDS23,OUT013,2093.8652
FDO49,OUT018,544.45184
FDS35,OUT049,1151.0336
DRK39,OUT045,1125.6064
DRI39,OUT049,984.765
FDV04,OUT017,1928.2034
NCN14,OUT035,3204.148
FDH08,OUT013,5052.4214
FDS20,OUT046,3035.9949
FDV40,OUT049,1119.194
FDZ48,OUT010,254.57925
FDS24,OUT027,2162.9622
FDK44,OUT049,2109.5664
FDS48,OUT045,2402.4758
FDK26,OUT010,567.5433
FDD23,OUT045,3816.4485
NCH54,OUT017,3150.1455
NCP14,OUT010,220.91165
FDM60,OUT010,108.377495
FDV24,OUT017,2189.2415
FDH08,OUT018,4119.832
FDS12,OUT027,2893.1865
FDR39,OUT027,5239.5234
FDP12,OUT027,1026.1697
DRF60,OUT027,5999.6265
FDC09,OUT035,1579.1737
FDF50,OUT018,2682.7305
FDG28,OUT035,3480.53
NCE19,OUT017,899.44147
NCM53,OUT010,378.7912
NCN18,OUT049,1713.2366
FDF32,OUT035,3444.75
FDF11,OUT013,2779.177
DRI59,OUT049,4510.2646
NCG54,OUT035,3295.3289
FDM44,OUT046,1542.975
FDT57,OUT018,1782.6075
FDV24,OUT046,2634.0063
FDI50,OUT019,938.46765
FDS09,OUT035,871.01605
NCC31,OUT027,3354.8843
FDQ07,OUT019,131.2414
FDC22,OUT017,2962.5027
FDZ56,OUT046,2383.5222
FDZ40,OUT019,81.17011
FDS46,OUT027,2870.7446
DRD24,OUT045,2041.4658
FDV45,OUT017,3534.0798
FDL26,OUT045,2618.9717
FDA56,OUT018,1914.5007
FDN27,OUT046,1317.3381
FDM20,OUT049,4865.723
FDO16,OUT017,2124.0156
FDL03,OUT035,2961.4468
FDE58,OUT046,1734.4895
FDI02,OUT027,3558.033
NCC55,OUT019,115.71602
FDR03,OUT018,3280.269
FDB14,OUT017,1574.4944
FDR45,OUT013,4468.3105
NCN07,OUT017,2033.7834
FDM51,OUT019,426.33762
FDT52,OUT027,6101.2227
FDL26,OUT046,2373.3005
NCZ42,OUT046,3840.4856
DRI47,OUT019,631.8883
FDW40,OUT013,2636.741
FDN34,OUT046,3407.327
FDS01,OUT035,2837.267
NCG55,OUT045,1994.2125
FDC11,OUT035,1174.309
FDX35,OUT018,3159.5945
NCB06,OUT046,2352.9302
FDR09,OUT019,579.11835
FDC53,OUT017,1498.6771
FDY45,OUT013,5583.9146
FDA22,OUT010,755.91425
FDE02,OUT035,1752.1686
FDW21,OUT045,1791.8276
FDV34,OUT046,1177.23
FDS59,OUT049,2079.2075
NCW17,OUT017,2504.716
NCK54,OUT046,1805.4452
FDG17,OUT019,123.84158
FDG35,OUT017,4517.88
FDD08,OUT010,154.13664
NCO07,OUT017,5136.764
FDJ10,OUT010,36.718884
FDW36,OUT017,1455.6818
FDW21,OUT010,359.04773
FDY19,OUT017,2103.0881
DRE03,OUT013,562.03314
NCC55,OUT049,749.3078
FDH52,OUT010,46.406002
FDO09,OUT017,4457.3096
FDU43,OUT045,4657.8477
FDX09,OUT010,691.1083
FDH40,OUT019,332.76163
FDW58,OUT017,1561.7212
FDC47,OUT017,5524.107
NCR41,OUT035,1782.9722
DRG49,OUT035,6153.9077
FDC52,OUT027,3217.7441
FDY13,OUT046,1302.0007
FDY35,OUT013,874.0016
FDI35,OUT017,5118.75
NCU18,OUT049,2299.417
FDY33,OUT018,3076.2534
FDC15,OUT027,3251.3472
FDU01,OUT049,3937.6482
NCU42,OUT046,3528.3262
NCV29,OUT018,2160.0972
NCY30,OUT017,3233.1023
FDQ46,OUT049,1661.5004
FDG58,OUT027,2986.0356
FDK33,OUT017,4072.467
NCD07,OUT045,1338.0018
NCX29,OUT027,3631.116
NCT42,OUT013,2048.9668
DRN59,OUT035,773.95056
FDI44,OUT035,1180.3241
FDA45,OUT049,2111.2002
FDP31,OUT045,792.01984
FDY01,OUT046,1761.8049
FDT09,OUT018,2087.8284
DRH03,OUT027,2022.3795
FDA36,OUT018,2102.2542
NCF31,OUT017,2518.268
FDG14,OUT049,2532.8333
FDG28,OUT027,6344.282
FDU14,OUT049,4878.297
FDY47,OUT019,319.28268
FDI56,OUT049,1559.5403
DRD01,OUT013,870.46826
FDM22,OUT046,1067.8138
FDH33,OUT013,695.3569
DRZ24,OUT013,2068.8594
NCQ38,OUT046,1553.4252
FDO16,OUT027,1926.2506
FDU07,OUT027,4052.8677
NCB07,OUT013,2757.9668
FDU48,OUT045,1857.1556
NCM43,OUT045,2976.3633
FDR31,OUT010,825.125
DRK49,OUT018,400.4344
NCI30,OUT010,459.2861
DRD60,OUT017,3289.0535
NCG19,OUT046,3049.4453
FDH12,OUT035,1762.5299
FDM32,OUT035,1603.7983
FDM27,OUT035,2802.8796
NCU53,OUT027,4854.241
NCQ18,OUT046,1717.481
FDS10,OUT013,2401.701
FDB33,OUT027,4416.357
FDI12,OUT013,1584.4921
NCW42,OUT013,3510.719
NCC06,OUT018,2112.6826
FDW02,OUT017,2078.0444
NCD43,OUT017,1782.9978
FDM57,OUT018,948.92737
FDA58,OUT017,2440.8743
FDK56,OUT046,3204.0625
FDP52,OUT045,3984.486
FDW20,OUT018,1661.564
FDS52,OUT049,1398.648
NCT29,OUT018,1662.4495
NCL54,OUT013,3196.967
FDC05,OUT045,2319.7007
FDF34,OUT035,3227.8184
FDP03,OUT027,3007.279
FDD32,OUT010,88.31401
FDZ10,OUT045,2213.9778
FDZ40,OUT035,895.4519
FDD51,OUT018,520.5905
NCY30,OUT019,333.66983
FDP58,OUT017,2954.748
FDV49,OUT017,3957.2295
FDY24,OUT019,151.995
NCO55,OUT017,1884.7605
FDR13,OUT017,2006.2065
FDS51,OUT017,996.81195
FDP26,OUT045,1477.2339
NCB54,OUT027,3365.5667
FDF32,OUT017,3331.3044
FDN31,OUT018,2671.4678
DRM48,OUT017,673.8383
FDN20,OUT049,2718.5679
DRL01,OUT046,3939.8696
FDV56,OUT049,1571.794
DRH13,OUT027,2675.1406
FDA03,OUT017,2352.7878
FDF47,OUT027,4664.5454
FDX32,OUT046,2475.8105
FDX57,OUT049,1534.9803
NCA30,OUT045,2978.3596
FDO49,OUT013,637.8858
FDL04,OUT019,242.3316
DRM48,OUT035,659.1001
FDR16,OUT013,4328.9014
NCC19,OUT018,3069.1018
NCE42,OUT045,1997.9454
FDY24,OUT017,1069.5792
FDH19,OUT049,2528.0144
FDJ46,OUT013,2913.8567
FDN45,OUT010,172.70296
FDY08,OUT035,2371.9487
FDZ37,OUT035,1628.4921
NCT30,OUT045,708.18463
DRY23,OUT018,423.50543
NCZ30,OUT018,1867.5623
FDC44,OUT018,1529.3927
FDB45,OUT035,1548.7902
FDY04,OUT013,2198.1433
FDM27,OUT046,2903.2178
FDZ43,OUT017,4696.6562
FDT39,OUT019,143.31464
NCC06,OUT019,284.95944
FDL15,OUT027,3516.1028
FDL57,OUT017,5869.808
FDU08,OUT046,1370.4368
FDK40,OUT017,4177.312
FDQ12,OUT010,424.1599
FDS48,OUT017,2811.9343
FDP09,OUT045,4073.3013
FDW21,OUT049,1452.3325
FDY25,OUT035,3748.563
DRE13,OUT017,1481.6881
FDV43,OUT019,137.3653
FDD22,OUT045,1678.909
FDM46,OUT019,301.6804
NCO30,OUT010,386.98282
FDM25,OUT046,2666.0354
NCN41,OUT049,2031.4727
FDU24,OUT045,1537.8079
FDZ50,OUT046,3177.268
FDP45,OUT013,3733.0996
NCM54,OUT045,2019.5629
FDW10,OUT019,436.05887
FDP20,OUT017,2037.9819
FDK32,OUT046,2525.4272
FDN52,OUT049,1301.4762
FDM58,OUT045,2242.5537
FDZ46,OUT027,2913.5298
NCA18,OUT018,1514.074
FDD35,OUT046,1919.5583
NCK31,OUT035,783.1269
FDI40,OUT027,2964.8625
FDT50,OUT019,119.55046
NCT06,OUT046,2812.3123
FDT31,OUT035,2756.6475
FDT45,OUT049,829.08795
FDT13,OUT045,3366.239
FDO50,OUT045,1335.2601
NCU18,OUT010,445.61472
NCR54,OUT049,3585.3872
NCO18,OUT018,2478.766
FDU09,OUT045,835.3249
FDT13,OUT018,2268.2747
FDE09,OUT046,1898.36
NCK53,OUT019,330.66736
FDG45,OUT049,4151.148
DRH15,OUT035,777.5225
FDO21,OUT019,109.33363
FDD14,OUT027,4474.1357
FDC09,OUT046,1451.7692
FDH45,OUT027,1113.3303
FDV32,OUT046,1271.5896
FDG12,OUT035,1903.1431
FDS32,OUT013,2117.3918
NCL55,OUT018,3384.281
DRE01,OUT035,4412.531
DRE15,OUT049,1202.6729
NCL42,OUT045,4826.8564
FDP31,OUT013,634.83374
FDN33,OUT018,1265.1583
FDZ59,OUT046,3218.3167
FDE45,OUT010,301.2784
FDJ07,OUT013,1616.6858
FDQ45,OUT018,3576.3596
FDM33,OUT027,4664.2236
FDO15,OUT010,163.12018
FDM46,OUT013,1326.5004
FDR03,OUT045,3679.3545
FDY49,OUT018,2192.9595
FDQ60,OUT045,1618.7178
FDW10,OUT049,2352.609
FDO51,OUT049,695.2931
FDJ40,OUT018,1310.428
FDS20,OUT018,2794.6958
FDU45,OUT013,2341.8901
FDV02,OUT035,2596.9585
FDN09,OUT046,4212.0527
NCM55,OUT027,5757.292
FDN23,OUT018,2179.488
FDY31,OUT010,563.3709
FDW03,OUT010,756.9063
FDD14,OUT046,3190.1074
FDV23,OUT017,2034.7554
DRI03,OUT045,1864.6581
FDN13,OUT035,1373.2949
FDF45,OUT027,1895.0676
FDU46,OUT035,1487.281
FDB57,OUT049,3479.861
FDV12,OUT049,1814.5321
FDQ58,OUT013,1984.9064
NCA18,OUT017,1496.2303
FDH52,OUT049,869.7551
FDM24,OUT018,2303.0442
NCP43,OUT027,4071.0422
NCO18,OUT019,300.06378
FDM32,OUT017,1254.316
NCL07,OUT017,551.0363
FDK03,OUT013,4735.308
FDP59,OUT017,1422.7896
FDQ24,OUT049,4227.8975
FDQ16,OUT018,1492.5793
FDU44,OUT013,2464.16
FDH28,OUT010,119.374825
FDV28,OUT019,151.5635
FDM22,OUT045,961.03094
FDR56,OUT046,2635.7803
FDV39,OUT049,3087.4944
FDU37,OUT019,406.7761
FDQ11,OUT010,0.0
FDX02,OUT045,4162.132
NCS42,OUT018,1159.6637
FDY57,OUT027,2858.0999
FDB21,OUT049,4930.6387
FDE28,OUT017,3156.6997
FDQ55,OUT017,2198.7769
FDA48,OUT049,3622.7002
FDZ19,OUT045,2245.087
NCC43,OUT045,3373.8845
NCV18,OUT046,1728.8494
NCA42,OUT018,2701.1506
FDY45,OUT046,3474.1006
NCC30,OUT045,2661.8386
FDM57,OUT013,1360.7416
FDL09,OUT010,432.03177
FDB09,OUT027,3255.532
FDT44,OUT035,1651.396
NCT06,OUT027,4123.256
FDX26,OUT049,3486.7197
FDK32,OUT013,2798.7373
DRA12,OUT046,2387.5957
FDO46,OUT010,200.21835
FDE52,OUT013,1200.7637
NCH42,OUT045,4634.1763
FDV08,OUT035,681.6644
FDB47,OUT018,2603.1401
FDC28,OUT010,284.8352
FDD22,OUT046,1703.9994
FDS07,OUT027,3373.8652
DRI13,OUT045,4295.908
FDG32,OUT018,3143.9585
FDU14,OUT017,4763.521
FDD28,OUT019,143.01324
NCP41,OUT017,1862.2604
FDS08,OUT049,1939.3575
FDX47,OUT045,1914.8319
FDC53,OUT019,220.60754
FDQ19,OUT035,4913.14
FDL14,OUT045,2404.304
FDM33,OUT019,684.8041
FDA51,OUT045,1989.8339
FDZ27,OUT018,647.4688
FDT04,OUT046,515.4889
DRC13,OUT049,1689.2955
FDR16,OUT027,4394.076
FDQ03,OUT027,5692.073
FDE38,OUT035,2872.0647
DRH23,OUT027,2107.4001
FDT11,OUT019,256.8253
FDD09,OUT035,3325.0315
FDR40,OUT045,1278.3586
FDX07,OUT017,3175.982
FDR07,OUT035,1343.6377
FDA51,OUT017,1999.3857
FDT59,OUT019,1031.7999
FDF20,OUT017,3268.3557
FDR13,OUT045,1650.4993
FDY26,OUT049,5850.0186
FDW04,OUT017,2279.382
FDK52,OUT017,4757.149
FDN60,OUT049,2990.5093
FDM09,OUT019,294.52612
FDP46,OUT049,1319.9727
FDB50,OUT019,409.27417
NCQ29,OUT049,3068.2803
FDP16,OUT027,6747.4624
FDX33,OUT018,2036.4546
FDP07,OUT010,363.9883
FDN22,OUT046,3252.318
FDF39,OUT049,3782.6008
FDS21,OUT017,943.35944
NCM42,OUT013,1524.2474
FDK50,OUT019,426.6675
DRF13,OUT027,3198.2104
FDH35,OUT018,2092.745
FDP60,OUT018,1168.3765
DRJ49,OUT027,2785.6125
NCT42,OUT019,257.88028
FDE38,OUT049,2935.6934
FDI04,OUT049,3434.3152
NCH54,OUT045,2807.7168
FDT56,OUT049,945.0579
DRD15,OUT018,1971.1587
FDV58,OUT013,2472.027
FDP21,OUT049,3362.029
FDH05,OUT013,3312.681
FDR10,OUT027,4593.26
NCP06,OUT045,2241.3354
FDF33,OUT049,2214.7905
DRK37,OUT013,3351.8823
DRH49,OUT045,1258.0752
FDT58,OUT013,2830.6287
FDD41,OUT018,1543.9568
FDP40,OUT018,1405.6816
FDM51,OUT027,2794.2112
FDO45,OUT010,137.53548
FDW33,OUT010,144.40462
FDY24,OUT045,987.1175
FDB10,OUT010,0.0
FDM40,OUT035,2416.7307
NCI06,OUT017,3538.7837
FDW12,OUT019,283.94382
FDX48,OUT027,3776.8904
NCW05,OUT027,2654.1848
FDX27,OUT017,1405.8785
DRM37,OUT045,4374.8657
FDA38,OUT045,3319.8
FDR36,OUT046,743.0258
FDZ45,OUT046,3477.5393
FDG05,OUT017,2399.7368
FDK28,OUT013,5069.5205
FDV47,OUT045,1266.6744
FDN21,OUT045,1761.9791
FDP20,OUT027,3603.5925
FDI35,OUT045,4513.972
DRY23,OUT013,906.9607
FDA56,OUT017,2425.3494
FDB09,OUT013,1698.118
NCO26,OUT027,3121.9277
FDQ49,OUT018,2175.2822
FDI52,OUT027,3399.4443
FDZ44,OUT027,3157.8354
FDZ09,OUT018,2517.0146
FDY03,OUT049,1964.0215
NCG42,OUT017,2169.026
DRI13,OUT027,6466.293
FDQ32,OUT013,2132.872
FDW16,OUT035,1407.95
FDU27,OUT046,689.41
FDR28,OUT010,362.42728
FDQ49,OUT010,257.18585
FDS37,OUT046,2043.2091
FDW26,OUT018,2656.6582
FDX12,OUT018,3859.4944
NCP06,OUT013,2179.9941
FDW45,OUT010,296.48764
NCN30,OUT049,1604.8289
FDN24,OUT049,973.906
NCL41,OUT027,1111.5255
FDR02,OUT019,72.72701
FDD09,OUT010,549.96387
FDS33,OUT010,149.57973
FDU22,OUT045,2065.5051
FDI53,OUT013,2209.8406
DRH01,OUT049,2996.2366
FDX32,OUT013,2082.6003
NCP30,OUT018,531.8836
FDB60,OUT045,2956.3982
FDB14,OUT049,1397.023
NCP02,OUT035,952.1169
FDJ10,OUT017,1795.6405
FDG34,OUT046,2119.0957
NCB18,OUT017,1478.0479
FDM16,OUT049,1257.2582
FDW25,OUT018,917.13715
FDB35,OUT010,243.60107
DRN11,OUT013,2359.6042
FDF41,OUT019,1094.0981
FDH16,OUT045,1078.6582
NCQ50,OUT018,3263.6936
DRH23,OUT018,687.667
DRJ37,OUT013,2114.5916
DRJ24,OUT027,5245.7793
FDY16,OUT035,2801.9604
FDQ27,OUT045,2136.3003
FDZ33,OUT045,1875.2135
FDF29,OUT045,2277.3674
FDA08,OUT049,2814.903
FDG31,OUT046,1333.3186
FDE34,OUT019,755.475
NCR30,OUT027,1809.5837
FDV33,OUT035,3299.343
DRZ24,OUT018,1678.1241
NCL54,OUT035,3197.242
FDR12,OUT049,2874.3525
NCC54,OUT046,4450.1636
DRN59,OUT013,798.25214
FDX50,OUT019,320.64276
FDV31,OUT027,4043.4854
NCA29,OUT027,4619.801
FDW60,OUT049,2593.0474
FDX08,OUT017,3236.8333
DRD49,OUT013,2164.541
FDD33,OUT046,3493.109
FDW35,OUT013,647.0652
FDJ36,OUT017,1708.8124
FDV51,OUT035,3029.2917
FDW36,OUT046,1423.3949
FDH35,OUT046,2197.2803
NCS30,OUT027,2937.9941
FDN49,OUT017,545.5391
FDL08,OUT018,2619.9495
FDI09,OUT013,3737.727
FDP19,OUT018,1845.7771
FDU21,OUT010,40.50705
NCP41,OUT045,1548.9813
FDY10,OUT013,1947.9651
FDP12,OUT018,448.24945
NCN26,OUT049,2049.006
FDK44,OUT013,2197.3936
FDC28,OUT049,1436.4296
FDJ41,OUT027,6481.9233
NCT29,OUT035,1683.7001
NCH42,OUT019,362.62213
FDU60,OUT018,3154.273
FDS02,OUT045,3724.6267
FDC51,OUT046,1969.0881
FDU03,OUT013,3094.26
FDX39,OUT045,4275.1743
NCY05,OUT010,0.0
NCL06,OUT027,5949.3994
FDD32,OUT035,1651.992
NCN41,OUT045,1806.4985
NCX53,OUT049,2495.8884
FDU57,OUT019,374.07996
FDQ23,OUT046,2058.1306
FDQ52,OUT045,5220.3794
FDC14,OUT045,650.89075
FDY09,OUT035,3516.8982
FDQ28,OUT045,2600.41
FDV25,OUT046,6113.537
FDJ07,OUT035,2060.7288
DRB25,OUT049,1681.6183
FDK52,OUT019,892.1822
FDY52,OUT027,1590.6976
FDB28,OUT046,3369.8354
FDT36,OUT035,580.09656
FDV25,OUT017,5531.436
NCN07,OUT027,3005.9524
FDC57,OUT017,3488.9387
FDQ03,OUT018,1884.6542
FDU23,OUT017,3073.4336
NCX41,OUT035,3998.8374
NCD06,OUT035,721.1625
FDW08,OUT045,1450.7612
NCU29,OUT017,2794.5215
NCE06,OUT013,2596.4717
FDV52,OUT010,352.86957
FDB02,OUT017,3262.0603
NCR18,OUT045,582.4446
FDK16,OUT049,1490.6414
NCQ29,OUT010,120.520355
FDZ01,OUT019,265.5588
FDW27,OUT035,2006.5514
FDD17,OUT018,3330.8386
FDW39,OUT013,2636.4043
DRH59,OUT045,876.3481
FDS52,OUT013,1487.5527
FDU40,OUT027,5671.587
NCF54,OUT013,2565.363
FDH46,OUT045,1656.5046
NCP14,OUT049,1882.6735
FDH50,OUT049,3558.3838
DRF15,OUT010,0.0
FDV27,OUT027,2413.0732
NCJ06,OUT049,2135.6548
FDN02,OUT018,3238.4487
FDQ51,OUT049,740.3681
FDQ07,OUT017,5406.4004
FDS45,OUT049,2133.5002
NCJ06,OUT045,2212.6138
FDD36,OUT035,2251.5005
FDY25,OUT045,3815.9426
FDU52,OUT046,2363.8965
DRK47,OUT017,3975.18
NCL30,OUT017,2096.5557
FDN22,OUT035,3859.7144
NCF30,OUT027,3808.5215
FDK03,OUT035,6697.9976
FDT45,OUT017,760.8582
NCC54,OUT027,5404.4746
FDP08,OUT018,2747.9275
FDU44,OUT046,3059.545
DRG39,OUT035,885.46094
FDU32,OUT049,1875.9203
FDY27,OUT049,2548.3533
NCP54,OUT013,2000.772
NCZ41,OUT049,1863.6433
DRL49,OUT013,1836.666
FDI05,OUT018,1314.366
FDY56,OUT045,5047.71
DRC13,OUT013,1655.793
NCV29,OUT017,3351.6658
FDR24,OUT049,1328.306
FDZ34,OUT018,2956.442
FDP37,OUT035,2414.0046
FDX08,OUT027,4461.386
FDS57,OUT045,1971.3812
NCG18,OUT049,1885.5201
FDK25,OUT018,3836.9255
FDH53,OUT049,1263.7479
DRI59,OUT018,3648.3237
FDA52,OUT046,2450.0918
FDT20,OUT010,0.0
FDE36,OUT019,445.54614
FDI24,OUT017,3225.708
FDB28,OUT018,2979.0295
FDV11,OUT017,2573.7908
FDP01,OUT046,1785.9644
FDD34,OUT027,3944.849
FDJ50,OUT027,1488.0892
FDZ44,OUT013,1477.8391
DRO59,OUT035,1328.5751
DRB48,OUT045,724.3823
FDR21,OUT018,3308.7922
NCE42,OUT010,256.96234
FDO23,OUT046,1521.132
NCE30,OUT018,2516.7769
FDQ22,OUT035,738.8786
FDY01,OUT045,1808.525
FDS08,OUT017,1609.2069
FDG28,OUT018,1312.3268
FDQ51,OUT018,498.053
FDB05,OUT017,5108.7144
FDO56,OUT049,1942.1111
FDE02,OUT018,1153.3622
FDN45,OUT017,3487.0107
FDS09,OUT013,749.4092
NCA54,OUT018,2604.7598
FDP09,OUT010,479.71997
FDC53,OUT045,1163.7887
NCM55,OUT017,3761.9236
FDL09,OUT018,2515.928
FDA11,OUT019,286.05954
FDA50,OUT045,1547.7623
FDC23,OUT017,4802.1
FDE22,OUT049,2540.2805
FDD23,OUT046,3710.0923
NCA29,OUT049,3651.096
FDK38,OUT046,2245.5254
DRC13,OUT046,2009.1808
NCP43,OUT049,3031.8618
FDX28,OUT049,1623.3052
FDF08,OUT049,1475.1472
FDZ33,OUT046,2163.527
FDD10,OUT049,2077.0164
FDO58,OUT017,2834.6875
FDI50,OUT017,4822.713
FDO58,OUT045,2218.9338
FDX08,OUT013,3049.227
NCK17,OUT010,0.0
FDF39,OUT035,4502.1284
FDU45,OUT010,441.90994
NCJ18,OUT018,1753.7452
DRC27,OUT019,501.2584
DRC25,OUT035,1642.0057
FDU59,OUT035,1812.744
FDU28,OUT035,3165.7896
NCP30,OUT046,672.5631
FDB39,OUT018,871.54083
FDE41,OUT013,1174.0302
DRH11,OUT010,160.33244
FDA58,OUT045,3007.3481
FDU50,OUT046,1364.8849
FDM34,OUT013,2085.7317
FDM44,OUT027,2217.6663
FDR39,OUT045,3455.0789
FDM25,OUT045,2705.7932
FDQ49,OUT049,1313.709
DRH25,OUT018,597.2742
FDM09,OUT027,3840.3765
FDL44,OUT019,546.1879
NCR42,OUT018,401.39523
DRL59,OUT046,840.1869
FDX43,OUT013,2385.5898
DRK47,OUT010,547.9502
FDU48,OUT018,1455.7716
FDY12,OUT045,795.71075
NCN43,OUT018,1723.144
NCM55,OUT018,2664.4844
FDQ21,OUT027,3439.4219
FDX13,OUT035,4096.3066
NCK30,OUT027,5113.3003
FDG20,OUT049,2108.3315
DRG27,OUT017,792.6163
FDY14,OUT018,3792.1626
FDP59,OUT035,1604.5724
FDU60,OUT017,3755.3154
NCC18,OUT019,511.46747
DRJ39,OUT017,5403.5366
FDS07,OUT049,1732.242
FDM08,OUT027,6025.033
FDP51,OUT045,2084.2344
FDU16,OUT035,1168.9897
FDH12,OUT013,1694.1549
DRE48,OUT010,451.5729
NCL42,OUT027,8001.44
FDR21,OUT045,2897.1504
NCW29,OUT035,2363.2227
FDO11,OUT013,5233.575
NCM31,OUT049,2306.1296
FDV35,OUT019,499.3094
FDF58,OUT017,933.35645
NCE43,OUT049,3435.0645
FDA02,OUT035,2066.7566
DRL37,OUT010,122.8384
FDR24,OUT018,1018.27734
FDW59,OUT049,1313.3807
FDS22,OUT049,622.72614
FDW24,OUT017,709.87476
FDU24,OUT035,1553.6243
FDA21,OUT027,5082.717
FDH58,OUT027,3062.239
FDW36,OUT018,1190.7827
FDI45,OUT027,4989.54
FDU01,OUT018,3323.975
FDF35,OUT027,2906.195
FDU43,OUT019,373.51877
FDE24,OUT019,324.14514
FDK50,OUT049,2982.7244
